50.5	91.35
50.9	91.91
51.2	91.45
52.1	91.86
53.6	92.59
53.1	91.83
53.9	92.53
53.5	92.6
52.4	92.68
50.6	93.56
50.9	93.76
51.8	94.45
60.19	94.88
57.7	95.54
57.1	95.38
57.7	95.55
58.2	95.67
58	96.04
59.3	95.73
60.29	96
60.99	94.2
61.99	95.39
62.19	96.36
61.59	96.96
62.09	97.07
62.49	97.08
64.09	97.28
63.59	97.67
64.09	97.57
64.49	97.94
64.39	97.91
64.19	98.29
64.19	98.09
64.59	98.04
64.29	97.94
66.69	98.96
69.39	98.45
67.79	99.44
68.89	99.65
69.29	100.36
70.39	100.4
68.89	100.43
68.59	100.4
69.69	100.62
70.19	101.01
69.69	100.58
69.89	101.17
71.79	101.19
70.79	100.91
72.19	100.57
72.19	100.34
71.29	99.58
71.09	99.02
71.39	98.78
69.89	98.26
68.99	96.76
68.79	92.56
65.39	93.44
62.89	92.27
61.09	89.57
57	87.44
58.2	86.88
57.6	85.5
58.5	84.82
60.39	83.96
62.09	83.64
63.19	84.56
62.39	85.5
63.09	86.15
64.29	86.43
66.99	86.77
64.19	87.03
63.59	88.04
65.09	88.36
66.29	88.94
66.99	89.27
68.89	90.58
69.29	90.71
69.79	91.11
71.49	91.39
71.59	91.6
72.29	91.35
74.59	91.38
75.79	92.27
78.99	92.15
77.79	91.74
77.49	92.65
77.39	92.32
78.19	92.53
79.69	92.8
81.19	93.29
83.59	93.82
79.19	93.79
83.69	94.44
82.89	94.36
82.89	94.89
81.99	95.47
80.89	95.69
82.69	95.24
83.69	95.96
83.99	96.14
83.39	96.12
84.19	96.37
82.99	95.91
84.89	95.96
84.99	96.16
83.79	96.63
84.99	96.97
85.39	96.84
87.29	97.4
86.99	97.79
87.69	97.62
87.89	97.73
90.59	97.93
90.09	97.51
87.59	98.16
92.69	98.66
91.69	98.49
92.29	98.78
91.79	99.08
95.19	98.67
94.29	99.5
94.49	100.46
93.59	100.5
92.39	100.87
94.19	101.25
96.49	101.44
91.79	101.33
96.09	101.64
94.89	101.66
95.69	102.45
95.59	102.3
95.19	101.8
95.19	101.28
99.09	100.99
99.39	100.4
99.49	99.96
100.39	99.62
99.79	100.2
102.59	100.05
102.69	99.68
100.29	99.31
102.49	98.63
103.29	98.07
102.59	98.89
103.69	98.19
102.59	97.41
102.79	97.51
104.49	97.42
103.99	97.85
97.69	98.1
104.99	98.01
101.99	98.02
106.49	98.21
105.69	98.02
104.99	98.86
105.79	98.97
107.59	98.59
108.89	99.26
111.79	100.15
110.49	100.29
111.19	100.45
110.99	100.41
114.49	99.94
115.89	99.94
116.19	101.46
116.99	102
120.09	102.33
118.19	102.07
117.09	102.43
116.79	103.02
118.09	103.95
116.59	103.12
113.79	103.9
115.69	104.36
116.29	105.2
111.89	105.34
109.79	105.58
110.09	106.14
108.39	106.19
109.99	105.77
111.49	105.24
114.29	105.35
113.69	104.68
115.09	104.91
109.29	104.96
114.09	104.78
111.49	105.52
115.29	105.15
114.59	104.72
115.79	105.69
118.29	105.32
118.09	104.87
120.59	104.98
112.69	100.39
